service_id,vehicle_id,make,model,model_year,service_date,service_month,mileage_at_service,mileage_band,failure_category,repair_cost,days_in_shop,technician_id,service_center_region,warranty_flag,days_since_prev_same_category,is_repeat_repair
1,V-0001,Toyota,RAV4,2020,2025-02-09,2025-02,61299,50k-75k,Brakes,312.32,1,T-12,Midwest,N,,0
5,V-0001,Toyota,RAV4,2020,2025-10-18,2025-10,69058,50k-75k,Cooling System,411.18,1,T-15,Southwest,N,,0
2,V-0001,Toyota,RAV4,2020,2025-06-03,2025-06,64584,50k-75k,Engine,1570.03,2,T-13,West,N,,0
3,V-0001,Toyota,RAV4,2020,2025-07-10,2025-07,65742,50k-75k,Engine,1884.42,3,T-07,Southeast,N,37.0,1
4,V-0001,Toyota,RAV4,2020,2025-08-23,2025-08,67407,50k-75k,Transmission,1867.4,3,T-09,Southeast,N,,0
6,V-0002,Toyota,RAV4,2016,2025-04-16,2025-04,87861,75k-100k,Suspension,779.2,2,T-07,Southwest,N,,0
7,V-0002,Toyota,RAV4,2016,2025-09-01,2025-09,91287,75k-100k,Suspension,736.34,1,T-01,Midwest,N,138.0,0
8,V-0002,Toyota,RAV4,2016,2025-11-09,2025-11,92790,75k-100k,Suspension,415.17,1,T-09,West,N,69.0,1
9,V-0002,Toyota,RAV4,2016,2025-12-24,2025-12,94598,75k-100k,Suspension,235.68,1,T-17,Northeast,N,45.0,1
11,V-0003,Chevrolet,Silverado,2021,2025-03-24,2025-03,52183,50k-75k,Cooling System,391.6,1,T-18,Northeast,N,,0
10,V-0003,Chevrolet,Silverado,2021,2025-02-28,2025-02,50980,50k-75k,Engine,1292.15,2,T-20,Southeast,N,,0
12,V-0004,Nissan,Sentra,2019,2025-10-18,2025-10,78923,75k-100k,Cooling System,268.29,1,T-17,Midwest,N,,0
13,V-0007,Nissan,Rogue,2017,2025-03-14,2025-03,108429,100k-150k,Engine,2189.64,4,T-06,Southeast,N,,0
14,V-0007,Nissan,Rogue,2017,2025-04-27,2025-04,110105,100k-150k,Engine,2197.97,4,T-01,Midwest,N,44.0,1
15,V-0007,Nissan,Rogue,2017,2025-08-16,2025-08,114052,100k-150k,Suspension,304.25,1,T-20,West,N,,0
18,V-0008,Chevrolet,Equinox,2015,2025-12-17,2025-12,178850,150k+,Brakes,299.71,1,T-10,Northeast,N,,0
