service_id,vehicle_id,make,model,model_year,service_date,service_month,mileage_at_service,mileage_band,failure_category,repair_cost,days_in_shop,technician_id,service_center_region,warranty_flag
1,V-0001,Toyota,RAV4,2020,2025-02-09,2025-02,61299,50k-75k,Brakes,312.32,1,T-12,Midwest,N
2,V-0001,Toyota,RAV4,2020,2025-06-03,2025-06,64584,50k-75k,Engine,1570.03,2,T-13,West,N
3,V-0001,Toyota,RAV4,2020,2025-07-10,2025-07,65742,50k-75k,Engine,1884.42,3,T-07,Southeast,N
4,V-0001,Toyota,RAV4,2020,2025-08-23,2025-08,67407,50k-75k,Transmission,1867.4,3,T-09,Southeast,N
5,V-0001,Toyota,RAV4,2020,2025-10-18,2025-10,69058,50k-75k,Cooling System,411.18,1,T-15,Southwest,N
6,V-0002,Toyota,RAV4,2016,2025-04-16,2025-04,87861,75k-100k,Suspension,779.2,2,T-07,Southwest,N
7,V-0002,Toyota,RAV4,2016,2025-09-01,2025-09,91287,75k-100k,Suspension,736.34,1,T-01,Midwest,N
8,V-0002,Toyota,RAV4,2016,2025-11-09,2025-11,92790,75k-100k,Suspension,415.17,1,T-09,West,N
9,V-0002,Toyota,RAV4,2016,2025-12-24,2025-12,94598,75k-100k,Suspension,235.68,1,T-17,Northeast,N
10,V-0003,Chevrolet,Silverado,2021,2025-02-28,2025-02,50980,50k-75k,Engine,1292.15,2,T-20,Southeast,N
11,V-0003,Chevrolet,Silverado,2021,2025-03-24,2025-03,52183,50k-75k,Cooling System,391.6,1,T-18,Northeast,N
12,V-0004,Nissan,Sentra,2019,2025-10-18,2025-10,78923,75k-100k,Cooling System,268.29,1,T-17,Midwest,N
13,V-0007,Nissan,Rogue,2017,2025-03-14,2025-03,108429,100k-150k,Engine,2189.64,4,T-06,Southeast,N
14,V-0007,Nissan,Rogue,2017,2025-04-27,2025-04,110105,100k-150k,Engine,2197.97,4,T-01,Midwest,N
15,V-0007,Nissan,Rogue,2017,2025-08-16,2025-08,114052,100k-150k,Suspension,304.25,1,T-20,West,N
16,V-0008,Chevrolet,Equinox,2015,2025-03-06,2025-03,166985,150k+,Engine,2321.12,6,T-13,West,N
17,V-0008,Chevrolet,Equinox,2015,2025-06-20,2025-06,171423,150k+,Suspension,502.36,1,T-19,Midwest,N
18,V-0008,Chevrolet,Equinox,2015,2025-12-17,2025-12,178850,150k+,Brakes,299.71,1,T-10,Northeast,N
19,V-0009,Chevrolet,Silverado,2021,2025-02-05,2025-02,37550,25k-50k,Cooling System,627.41,1,T-15,West,N
20,V-0009,Chevrolet,Silverado,2021,2025-03-21,2025-03,38453,25k-50k,Transmission,3270.87,9,T-04,Northeast,N
21,V-0009,Chevrolet,Silverado,2021,2025-06-07,2025-06,40896,25k-50k,Suspension,768.72,2,T-09,Southwest,N
22,V-0009,Chevrolet,Silverado,2021,2025-06-22,2025-06,41427,25k-50k,Suspension,185.84,1,T-09,Southwest,N
23,V-0009,Chevrolet,Silverado,2021,2025-07-12,2025-07,41373,25k-50k,Suspension,230.37,1,T-03,West,N
24,V-0009,Chevrolet,Silverado,2021,2025-12-29,2025-12,45849,25k-50k,Suspension,912.2,3,T-04,Midwest,N
25,V-0010,Ford,F-150,2019,2025-01-22,2025-01,56370,50k-75k,Engine,2754.68,8,T-14,Northeast,N
26,V-0010,Ford,F-150,2019,2025-03-13,2025-03,58034,50k-75k,Engine,2282.23,6,T-13,Northeast,N
27,V-0010,Ford,F-150,2019,2025-11-30,2025-11,64053,50k-75k,Electrical,375.87,1,T-15,Northeast,N
28,V-0011,Nissan,Rogue,2018,2025-05-05,2025-05,104303,100k-150k,Engine,1528.19,4,T-17,Midwest,N
29,V-0011,Nissan,Rogue,2018,2025-08-09,2025-08,108954,100k-150k,Engine,2188.04,7,T-19,Midwest,N
30,V-0012,Nissan,Sentra,2015,2025-01-27,2025-01,104219,100k-150k,Engine,2321.42,6,T-11,West,N
31,V-0012,Nissan,Sentra,2015,2025-03-23,2025-03,105864,100k-150k,Transmission,2035.8,4,T-06,Midwest,N
32,V-0012,Nissan,Sentra,2015,2025-04-17,2025-04,107148,100k-150k,Transmission,2030.94,5,T-08,Northeast,N
33,V-0012,Nissan,Sentra,2015,2025-05-31,2025-05,107754,100k-150k,Electrical,538.61,1,T-17,Midwest,N
34,V-0013,Ford,F-150,2021,2025-01-29,2025-01,42793,25k-50k,Brakes,470.82,1,T-19,Northeast,N
35,V-0013,Ford,F-150,2021,2025-03-13,2025-03,44360,25k-50k,Cooling System,165.59,1,T-18,Southwest,N
36,V-0013,Ford,F-150,2021,2025-08-01,2025-08,48975,25k-50k,Engine,3133.33,9,T-17,Southeast,N
37,V-0013,Ford,F-150,2021,2025-10-08,2025-10,50937,50k-75k,Electrical,620.13,1,T-15,Southeast,N
